settore_attivita,n_dipendenti,metri_quadri,numero_sedi,percentuale_tempo_determinato,certificazione_iso_45001,settore_regolamentato,presenza_macchinari_pesanti,lavoro_in_quota,presenza_sostanze_chimiche,rumorosita_db,presenza_videoterminali,temperatura_ambiente,presenza_sistemi_elettrici,numero_macchinari,quantita_sostanze_chimiche,rischio_meccanico,rischio_caduta,rischio_chimico,rischio_rumore,rischio_elettrico,rischio_informatica
Turismo,184,8929,9,88.58813387270243,1,0,1,0,1,87.58159462672577,0,21.146525844877125,0,30,495.33802725399846,0.9529051372252649,0.005822247220962962,0.49533802725399845,0.7930265771120962,0.1,0.2
Edilizia,556,889,3,10.771763500542097,0,0,1,1,0,57.52350672810203,1,21.54724898116725,0,53,286.3202912671574,0.9935782038642405,0.910991699195105,0.0,0.2920584454683671,0.1,0.7
Telecomunicazioni,87,6521,8,38.95048330362108,1,0,0,0,0,63.93725240101527,1,25.56615996601576,1,71,654.0526628577367,0.9336032488986029,0.18412660554245444,0.0,0.3989542066835879,0.8,0.7
Commercio,736,1045,8,13.976822405249878,1,0,0,1,1,48.26801794691098,0,18.42329962706882,0,13,238.42226325054693,0.10564021371828126,0.9220946914461741,0.23842226325054694,0.13780029911518302,0.1,0.2
Servizi,134,9569,6,21.920530187009568,0,0,1,1,0,95.51562081609049,1,30.68664430014568,0,24,972.9936010276441,0.7304676958572125,0.92814203298149,0.0,0.9252603469348415,0.1,0.7
Telecomunicazioni,498,829,9,66.35293298627941,1,0,1,0,0,66.39504561636045,0,17.515121899889404,1,86,413.55076501554646,0.6616577074156883,0.12637541813390127,0.0,0.4399174269393408,0.8,0.2
Educazione,680,3843,4,50.72226358839175,1,0,0,1,0,94.63423748569659,0,33.82209212026292,0,67,783.7304315283219,0.9051877913021967,0.8605132758148205,0.0,0.9105706247616098,0.1,0.2
Media e intrattenimento,992,7359,8,3.7341024145757573,1,0,0,1,1,48.86951105736284,1,29.4471288356174,0,78,538.4773161794934,0.8906076901300874,0.8416662738043739,0.5384773161794935,0.1478251842893807,0.1,0.7
Servizi,61,4723,8,94.24509145776257,0,0,1,1,0,59.04170506485864,1,16.58284986885193,0,19,457.29551883052386,0.6732587176360504,0.9083096142566489,0.0,0.3173617510809773,0.1,0.7
Agricoltura,252,9142,6,9.094869185393206,0,0,0,0,1,74.86247730457816,0,23.95577653073887,1,64,894.2089684518305,0.6641383697902307,0.021461554838335097,0.8942089684518305,0.5810412884096361,0.8,0.2
Trasporti e logistica,26,4538,1,72.62215313332861,1,0,0,1,0,60.755063579648926,0,25.09585031851813,1,76,678.0494377093539,0.9036983783497559,0.9654587254388344,0.0,0.3459177263274821,0.8,0.2
Sanità,463,5611,1,8.692887478597966,1,0,0,1,1,55.286630941651026,0,33.88334298604455,1,64,174.6045884349774,0.8247988257145673,0.7873432312686576,0.1746045884349774,0.25477718236085045,0.8,0.2
Edilizia,48,3817,5,92.89761051541997,1,0,0,0,0,80.95797653482578,0,18.069013778037164,1,45,740.8247759286191,0.6159648021131858,0.12899963086809574,0.0,0.6826329422470963,0.8,0.2
Edilizia,357,8326,6,31.775104589721348,0,0,1,0,0,64.87792707018698,0,16.565015805932713,0,28,397.3867943386806,0.8769801219393301,0.10827172344375127,0.0,0.41463211783644977,0.1,0.2
Media e intrattenimento,957,9738,6,20.629643977016833,0,0,0,0,0,54.35988146353128,0,31.719429381907116,0,34,364.83593973935115,0.634393875340671,0.168681817500056,0.0,0.23933135772552133,0.1,0.2
Turismo,371,405,3,71.08237813416629,0,0,0,0,1,46.12139182656709,0,26.041557426793783,1,1,559.8720179836529,0.0691352472444355,0.012400442552979164,0.5598720179836529,0.10202319710945153,0.8,0.2
Servizi,535,1169,8,73.4144232307835,0,0,0,1,1,75.2814228606858,1,28.339815036308433,0,78,128.24508377510247,0.6626942900682464,0.9775872127051961,0.12824508377510246,0.5880237143447632,0.1,0.7
Edilizia,890,2381,2,32.52910025886069,1,0,1,1,0,52.023446129537774,1,33.21735751627322,0,13,657.4568762098977,0.7482972373985886,0.9314107975241314,0.0,0.20039076882562956,0.1,0.7
Energia,695,953,8,61.409392887119004,1,1,0,1,1,61.16928463002784,1,30.521318755970483,1,12,413.2830621704907,0.19360475279210287,0.7972680122932576,0.4132830621704907,0.352821410500464,0.8,0.7
Trasporti e logistica,180,4942,2,58.10017074278071,1,0,0,0,1,42.85916784304613,1,20.31268771629899,0,79,783.5526464105886,0.7718194109339075,0.004862918463385779,0.7835526464105886,0.04765279738410217,0.1,0.7
Agricoltura,843,2116,6,82.70539291578324,0,0,0,0,1,46.98374694274761,1,30.462465716004544,0,30,550.5651606284482,0.6758273286755583,0.1252876442002229,0.5505651606284482,0.1163957823791268,0.1,0.7
Edilizia,406,3094,6,20.19102684639136,0,0,0,0,0,57.060196641583936,1,28.553319214029912,1,7,926.7759397906731,0.04796708221138879,0.03330463541931712,0.0,0.2843366106930656,0.8,0.7
Industria manifatturiera,826,8189,7,89.14357276413709,1,1,0,0,1,81.6522728877533,0,28.220205091214027,1,28,521.8020779611525,0.6769867489271013,0.09804636304577725,0.5218020779611524,0.6942045481292216,0.8,0.2
Industria manifatturiera,251,5711,3,52.12678681292261,1,1,1,0,1,42.68592924229684,0,18.19873356968246,1,15,989.2182371131479,0.6893279747616089,0.1395887920509948,0.9892182371131479,0.04476548737161394,0.8,0.2
Sanità,362,6205,8,39.02193152139155,1,0,1,1,1,99.08697500038537,1,30.03997845236352,0,15,487.74422890416025,0.9616387388561476,0.7306246807288485,0.48774422890416025,0.9847829166730894,0.1,0.7
Educazione,851,1145,4,75.30599144876919,0,0,1,1,0,97.62715058993462,1,28.18228592605223,1,97,714.3453896503977,0.6293263966924213,0.7243832680893274,0.0,0.9604525098322436,0.8,0.7
Energia,976,1090,9,69.58133081823335,0,1,0,1,0,80.64312596808045,0,30.56990463673031,0,11,21.380948032523108,0.08067395927918082,0.9110627509267729,0.0,0.6773854328013409,0.1,0.2
Servizi,456,9043,1,39.437005812731215,1,0,1,1,0,66.70846764254472,0,31.57024591596844,0,92,26.626191737579518,0.7771770043820303,0.7888863366990966,0.0,0.4451411273757453,0.1,0.2
Commercio,728,1551,2,24.02876089834495,1,0,1,1,1,80.14732303528257,1,27.462079279748338,1,46,489.6288648936772,0.920067536570811,0.8439824585099516,0.4896288648936772,0.6691220505880427,0.8,0.7
Trasporti e logistica,458,1819,3,11.513236832162788,0,0,1,0,1,88.42850514978507,0,25.23746913258518,0,35,659.654306119236,0.7921774283698216,0.026552628741483498,0.659654306119236,0.8071417524964178,0.1,0.2
Commercio,141,8238,9,83.17517089082152,1,0,1,1,1,69.28062172113209,0,32.609369083411,0,51,981.4625704414556,0.7767552046742128,0.9192635467142113,0.9814625704414556,0.4880103620188682,0.1,0.2
Finanza e assicurazioni,821,3513,7,83.82394249058801,1,0,1,1,0,41.60387899172395,0,24.710331573438353,0,31,754.6278326831776,0.636486743701097,0.8185777164778876,0.0,0.026731316528732545,0.1,0.2
Edilizia,447,4271,7,99.73128900546646,1,0,1,0,0,68.16579431581461,0,29.850767757692495,0,72,525.3822425213998,0.9506184491753993,0.17138775445926804,0.0,0.4694299052635768,0.1,0.2
Energia,377,6089,5,78.13736416875733,0,1,1,1,1,87.89510638245318,1,34.21044049025499,0,58,253.86049116374065,0.8345367304542615,0.7844202733318579,0.25386049116374065,0.7982517730408863,0.1,0.7
Finanza e assicurazioni,296,6465,3,55.53255561379243,1,0,0,0,1,53.18352156408264,1,24.79220995410054,1,43,149.48976088045652,0.6395124025530665,0.009623603606785602,0.1494897608804565,0.21972535940137733,0.8,0.7
Sanità,79,8721,3,99.09172763374326,0,0,0,0,0,60.10584212665258,1,21.086774529138456,1,36,346.6339036291969,0.874589108660299,0.1439644829115163,0.0,0.33509736877754304,0.8,0.7
Media e intrattenimento,745,7920,1,25.67312711436337,1,0,1,0,1,47.11985965933877,1,27.166796642683032,1,47,704.4038739701482,0.9279070635829056,0.17414365085250433,0.7044038739701481,0.1186643276556462,0.8,0.7
Industria manifatturiera,862,6364,4,96.88726074705997,1,1,0,1,0,68.63574015022085,0,20.27944221018643,0,37,320.61907940804537,0.7616771806665403,0.8193338446669474,0.0,0.4772623358370142,0.1,0.2
Sanità,987,3645,1,79.56934427733141,0,0,1,0,1,66.7990837892911,1,27.995217894312514,1,90,604.5079572055978,0.7665020548735174,0.17261857495954458,0.6045079572055978,0.446651396488185,0.8,0.7
Edilizia,795,7742,7,61.99973328378865,1,0,1,0,0,42.76709848810795,1,30.17020711890782,1,30,19.133524140092838,0.7253559755529069,0.1274880430146849,0.0,0.046118308135132464,0.8,0.7
Sanità,340,749,4,40.954961830504,0,0,0,1,1,86.69042843470547,1,22.523760593212153,0,82,12.549509262602676,0.9163424360357663,0.8601970626452023,0.012549509262602676,0.7781738072450911,0.1,0.7
Finanza e assicurazioni,214,2275,6,93.10120112790068,1,0,1,0,0,69.92239295750338,0,16.607674017048815,0,40,76.41246207036068,0.7130219388282927,0.05702215485751747,0.0,0.4987065492917229,0.1,0.2
Servizi,787,963,2,12.813715871995202,0,0,0,1,1,71.46509417158796,0,32.09773763476071,1,3,343.9772125897711,0.25900808430537026,0.7899171928721129,0.3439772125897711,0.5244182361931328,0.8,0.2
Finanza e assicurazioni,19,8062,5,8.2363049155602,1,0,0,1,0,95.9721349613145,1,31.512479849449374,1,42,59.459819676741965,0.8547029213082167,0.9205706464068559,0.0,0.9328689160219082,0.8,0.7
Tecnologia,16,7439,7,20.133927853225742,0,0,0,1,1,68.64946635734762,1,15.899410656251893,0,14,736.0582898194715,0.17986484363397945,0.8102822313053349,0.7360582898194715,0.4774911059557937,0.1,0.7
Edilizia,560,1382,1,39.88054473806263,0,0,1,1,0,90.37955700599929,1,28.797621781725574,1,1,61.33168579203263,0.6820676398862722,0.8164386034581222,0.0,0.8396592834333215,0.8,0.7
Servizi,490,4588,7,15.026987043759455,1,0,1,1,0,88.38842046001265,1,34.50744046819926,0,48,725.6906359169692,0.9674003999144286,0.7479317408383187,0.0,0.8064736743335442,0.1,0.7
Commercio,217,8701,8,33.177539237659104,1,0,0,0,0,89.27316330216112,1,29.05949387714341,0,38,550.6803196482764,0.9139584912528372,0.17473760395902468,0.0,0.821219388369352,0.1,0.7
Commercio,335,2756,7,85.15628926626412,1,0,0,1,0,57.36278470087234,0,22.282486434884948,1,35,10.005831982240142,0.9847015392814197,0.7186266029800001,0.0,0.289379745014539,0.8,0.2
Energia,184,7523,3,91.03455040557347,1,1,0,0,0,71.39945282172684,1,30.76378570620628,0,75,94.44581841762545,0.8230641552563147,0.15746412938347185,0.0,0.5233242136954473,0.1,0.7
Sanità,95,5478,6,12.156843456059041,0,0,0,0,1,87.04876853584906,0,33.8154670543362,1,67,811.8503419043577,0.8420176575868095,0.19165834988178496,0.8118503419043577,0.784146142264151,0.8,0.2
Energia,869,1095,8,68.13953837413459,0,1,1,1,0,72.0510548282034,1,22.68915672394786,0,80,212.16508459177564,0.6648282847867301,0.90059637153012,0.0,0.5341842471367234,0.1,0.7
Sanità,459,3835,2,84.8743292049131,1,0,0,0,0,40.434058106162674,0,34.81220415910512,1,79,804.319798913742,0.6667397075533993,0.08067418895147659,0.0,0.007234301769377893,0.8,0.2
Educazione,557,7678,3,64.22816425264732,1,0,0,1,0,84.64724528805712,1,26.85817373763055,0,74,568.6187992039393,0.9741670127805293,0.7052588732040739,0.0,0.744120754800952,0.1,0.7
Tecnologia,656,703,8,75.95260338653449,0,0,1,0,1,88.45269227103077,0,28.39452482767652,1,55,613.4451212496866,0.8138093836266488,0.17690982175932135,0.6134451212496866,0.8075448711838462,0.8,0.2
Edilizia,357,316,6,76.87137098430091,0,0,1,1,1,84.845065676631,1,27.566992336099403,0,46,581.8705300953944,0.9651439613864572,0.9401489329389574,0.5818705300953945,0.7474177612771833,0.1,0.7
Sanità,245,494,1,41.91622093158781,1,0,1,1,0,42.09220059152778,0,16.595814925067284,1,44,457.88591128651666,0.8247473598308441,0.994673598115903,0.0,0.0348700098587963,0.8,0.2
Tecnologia,767,729,2,8.21797779315897,0,0,1,1,0,91.8956234797499,0,18.374472347683096,1,31,247.06330452407744,0.983716429439209,0.9851702578661694,0.0,0.8649270579958317,0.8,0.2
Edilizia,454,1246,8,43.60041734729655,0,0,0,1,1,45.51273516377455,0,20.246835698820565,1,19,280.06304693954576,0.09025258844254098,0.8614431089399315,0.28006304693954576,0.09187891939624251,0.8,0.2
Tecnologia,260,3445,3,76.85855543137856,0,0,0,1,1,80.21534392866398,0,32.00716123486184,1,87,327.4863960647306,0.6762259536185312,0.7093368877669141,0.3274863960647306,0.6702557321443997,0.8,0.2
Edilizia,380,7415,9,34.96529979878981,1,0,1,0,1,72.3745616174834,0,25.46817228010812,0,96,55.17575485485593,0.9343217005703159,0.1773888382070073,0.05517575485485593,0.5395760269580566,0.1,0.2
Energia,64,8861,2,89.04776750076995,0,1,1,1,1,82.13061154497984,1,16.49005955074103,0,53,193.41652494796702,0.7853528975422297,0.8622848084056122,0.19341652494796702,0.7021768590829974,0.1,0.7
Servizi,319,8423,3,64.82145262259723,0,0,1,0,1,51.24603647062535,1,28.200057723399585,0,43,204.10853957055963,0.6371693362317887,0.054647243592165134,0.20410853957055963,0.18743394117708914,0.1,0.7
Edilizia,380,3862,6,40.61551077085047,0,0,1,1,0,70.72119443709288,0,31.972626994339713,1,64,863.7253012394256,0.9052410843488812,0.7784989137868014,0.0,0.5120199072848812,0.8,0.2
Turismo,163,8132,2,63.9756279925654,0,0,0,0,1,44.76946815339765,0,17.51647812040413,0,24,527.5093839489655,0.7736314452652561,0.12812827417511494,0.5275093839489655,0.07949113588996089,0.1,0.2
Sanità,538,2940,8,73.07758850057061,1,0,0,0,1,44.61628286809189,1,33.354761797694565,0,13,871.6608052623491,0.019781347305401865,0.027482772308432303,0.8716608052623491,0.07693804780153156,0.1,0.7
Telecomunicazioni,288,97,9,83.4359099420492,1,0,1,0,1,74.51557305769083,0,31.922891433681045,1,26,288.33424786954356,0.8283085547415339,0.040484120323144836,0.28833424786954354,0.5752595509615138,0.8,0.2
Servizi,858,7974,3,3.414874329267381,1,0,1,0,1,52.60812790910842,0,33.154000597782655,0,41,963.0590828742248,0.9128413761657501,0.006448374892354569,0.9630590828742248,0.21013546515180698,0.1,0.2
Tecnologia,289,8681,6,58.127763998127044,1,0,1,1,0,91.09822047055401,0,26.969574103160127,0,9,507.7520998921993,0.6631845671963791,0.9670736623255369,0.0,0.8516370078425669,0.1,0.2
Sanità,849,79,9,90.46441738587646,1,0,1,0,0,48.27492563291615,0,18.382010846520174,0,65,957.3391275601911,0.6287588912307789,0.17346372652979933,0.0,0.1379154272152692,0.1,0.2
Industria manifatturiera,394,5869,8,89.43113775753314,1,1,1,1,1,51.839808039268775,1,21.092232077700878,0,14,149.63101320899085,0.639609625720554,0.9488187172472996,0.14963101320899086,0.1973301339878129,0.1,0.7
Servizi,296,5740,5,19.892298819691124,1,0,1,0,1,85.14888622478094,1,19.683674205865703,1,46,421.4860668840209,0.7769964829093234,0.13836153260988154,0.4214860668840209,0.7524814370796823,0.8,0.7
Educazione,535,223,7,69.2865626913026,0,0,1,0,0,85.07559557192724,0,33.609684025569905,0,85,602.0343297505548,0.699266762108568,0.0765251805621269,0.0,0.7512599261987873,0.1,0.2
Agricoltura,982,2295,1,82.43648383355534,1,0,1,1,0,63.003794824592106,0,33.52153163072975,0,97,636.7465556440345,0.7630369735923583,0.7550432711657088,0.0,0.3833965804098684,0.1,0.2
Turismo,208,6436,6,82.18863685218301,1,0,1,1,1,89.82414560775662,1,27.649958227304296,0,55,895.2805814324921,0.6959415064875895,0.7173323947412877,0.8952805814324921,0.8304024267959437,0.1,0.7
Agricoltura,274,5297,7,75.14694432181832,1,0,1,1,1,94.10629124116107,0,20.027477574878453,1,86,737.4836856214586,0.789390659484743,0.994159869123606,0.7374836856214586,0.9017715206860178,0.8,0.2
Edilizia,609,2353,7,41.09974559464147,0,0,1,0,1,86.94649313742737,1,21.595774744182727,1,94,597.1876335718833,0.702915021244864,0.18996458680372386,0.5971876335718833,0.7824415522904561,0.8,0.7
Telecomunicazioni,698,901,7,37.12940629013751,0,0,0,0,1,89.55989837557611,0,20.442599391888873,0,44,706.0733640850067,0.8555748974044095,0.01864666004095512,0.7060733640850066,0.8259983062596018,0.1,0.2
Turismo,685,8708,3,76.94074905058788,1,0,0,1,0,55.39233299703284,1,33.787688507271994,1,77,449.5571085373815,0.6101194248498752,0.9822985458309084,0.0,0.25653888328388064,0.8,0.7
Finanza e assicurazioni,70,6612,8,43.47057619236686,0,0,1,1,0,93.42607563440944,1,21.69516350841138,1,13,712.2794413130296,0.9689915672897172,0.8631130205547164,0.0,0.890434593906824,0.8,0.7
Servizi,470,810,7,17.310005157311203,0,0,1,0,1,68.57038873789804,0,29.688311823402948,1,0,634.9684734754538,0.9483630413449289,0.056035842101044175,0.6349684734754538,0.47617314563163404,0.8,0.2
Commercio,125,8407,7,34.17671465940943,0,0,0,0,0,55.36070535792497,1,25.88012445059514,1,85,719.4687155970528,0.9969951991800211,0.010142583430216524,0.0,0.2560117559654162,0.8,0.7
Sanità,397,5285,7,95.49004825850788,0,0,1,1,1,46.95117306618445,1,23.903715323015682,1,83,421.3656874333178,0.648332293614225,0.7247429572493571,0.4213656874333178,0.11585288443640754,0.8,0.7
Edilizia,240,829,1,72.73958634238909,1,0,0,1,0,86.47797313354809,0,19.368978416941403,0,40,330.46929023228756,0.6766245691963159,0.9971419232772106,0.0,0.7746328855591348,0.1,0.2
Industria manifatturiera,615,3386,3,82.76021143780727,0,1,1,0,1,80.5245783854194,1,21.827011634186633,1,94,765.1430810332209,0.6242828681550262,0.11607936242766047,0.7651430810332209,0.6754096397569901,0.8,0.7
Tecnologia,15,2823,6,98.99485181388243,0,0,1,0,1,77.33508526653662,1,27.6894650517048,0,20,425.98018420428497,0.9137251047637005,0.023732300259296093,0.42598018420428496,0.6222514211089437,0.1,0.7
Edilizia,758,5580,5,18.622496000221066,1,0,0,1,1,63.29313298056515,1,22.042088926680393,1,31,703.884444839862,0.8128072403414951,0.7514504761447719,0.703884444839862,0.38821888300941915,0.8,0.7
Telecomunicazioni,495,1942,2,4.094720774051053,0,0,0,0,0,81.86087914566961,1,28.902848004816853,0,38,591.4952645766708,0.6700913835851888,0.19342372570805985,0.0,0.6976813190944936,0.1,0.7
Telecomunicazioni,75,2501,9,27.10558092659322,0,0,0,1,1,48.71002387825837,0,31.667323766393306,1,8,105.99238644989329,0.026420425486807873,0.8361629394316695,0.10599238644989328,0.14516706463763948,0.8,0.2
Edilizia,249,4030,8,16.652707746874242,1,0,1,0,0,95.73158609303023,0,15.143239120281578,0,24,219.33214527010492,0.8824454797061247,0.15105226229157187,0.0,0.9288597682171705,0.1,0.2
Turismo,601,6075,1,17.57859948387225,1,0,0,1,1,90.94912943942646,0,18.515711852856573,0,44,297.7152583817807,0.8365795830637736,0.7848392067874302,0.2977152583817807,0.8491521573237742,0.1,0.2
Industria manifatturiera,485,4386,3,4.12277321306841,0,1,0,0,0,48.196013902374006,1,20.774772732005932,0,94,481.44051450413895,0.9581157444351895,0.01563273236304641,0.0,0.13660023170623342,0.1,0.7
Servizi,601,7904,5,43.852003034527556,0,0,1,0,1,54.33794544334941,0,18.051662594049994,0,48,862.8957932930341,0.8097668060505422,0.10597765656697261,0.8628957932930341,0.23896575738915687,0.1,0.2
Edilizia,54,1090,7,83.06826547011319,1,0,0,0,0,45.591355509916,0,27.09995489169478,1,65,466.47186362444523,0.7762046272698923,0.15437167347075129,0.0,0.09318925849859999,0.8,0.2
Servizi,122,6593,1,29.381098728404076,1,0,0,1,1,59.8775309010273,1,32.711713609298556,0,70,129.9968058610168,0.7661761259176312,0.7748814841894378,0.1299968058610168,0.3312921816837883,0.1,0.7
Media e intrattenimento,790,2812,5,66.74038858323375,0,0,1,0,0,84.10204708842285,1,28.333103956803114,0,33,989.3587687070944,0.9298393254710675,0.16842216931027534,0.0,0.7350341181403809,0.1,0.7
Commercio,966,992,2,6.104455048751422,0,0,0,1,0,48.82936962200895,1,32.53306078530327,1,1,521.3693649564697,0.002854086252497423,0.8099045444991689,0.0,0.14715616036681578,0.8,0.7
Sanità,634,908,8,80.86901914060296,0,0,0,0,1,82.18434892932913,1,27.77350097147125,1,59,537.2885317838704,0.6696963648441164,0.19113956304641352,0.5372885317838705,0.7030724821554856,0.8,0.7
Trasporti e logistica,994,8505,5,25.53302628367907,1,0,1,0,0,98.64870415895801,0,29.38149748991556,0,50,842.7410060637789,0.9538864959843107,0.14490117882333506,0.0,0.9774784026493002,0.1,0.2
Industria manifatturiera,271,2118,8,3.6921059069831563,1,1,0,0,1,87.18218236055282,0,34.96133565817737,1,40,708.0316820832701,0.9157135782718806,0.09592580182377695,0.70803168208327,0.7863697060092136,0.8,0.2
Educazione,52,51,7,90.15152673443231,0,0,1,0,1,91.39136830920413,0,16.630770658105515,0,16,315.3385967805794,0.6447469168440437,0.08597754236668859,0.3153385967805794,0.8565228051534021,0.1,0.2
Turismo,719,3932,3,32.119895012239944,1,0,1,0,0,48.810252819689694,0,28.667182743615868,0,66,76.95459282422323,0.7469952069361012,0.08293159334019139,0.0,0.14683754699482823,0.1,0.2
Edilizia,303,3490,4,15.39256655257687,0,0,1,0,0,93.4852409299321,1,22.117968491704314,1,42,259.37734859961347,0.9680805774120038,0.0846143545965099,0.0,0.891420682165535,0.8,0.7
Edilizia,409,4653,2,83.00942050115223,1,0,0,1,1,55.81842216798242,0,22.03252219446754,1,75,788.179416209678,0.9771534016870405,0.9291789883310901,0.788179416209678,0.26364036946637365,0.8,0.2
Media e intrattenimento,699,4118,5,7.8993613706402455,1,0,1,1,0,80.62253169251949,1,31.182898863326965,1,92,390.01756808989273,0.8180730426750702,0.9760522047567597,0.0,0.6770421948753248,0.8,0.7
Finanza e assicurazioni,125,2130,1,18.260685731740487,0,0,0,0,0,62.46773607888911,0,29.373817648167304,0,26,12.25795822785214,0.9714338604229807,0.1276428710640278,0.0,0.3744622679814852,0.1,0.2
Industria manifatturiera,574,9236,3,8.832244901756802,0,1,0,1,0,81.43160690961457,1,19.427422510671978,1,25,761.0660691131671,0.6788391202704331,0.8567042204455726,0.0,0.6905267818269095,0.8,0.7
Sanità,546,7547,1,97.25128885721026,1,0,0,1,0,70.26437428262942,1,30.35861382808588,0,26,168.6024804559808,0.823118342598787,0.7089936655045677,0.0,0.5044062380438237,0.1,0.7
Agricoltura,753,9480,5,46.74495376421741,1,0,1,0,0,55.81065482382876,1,25.526108325979536,1,61,789.7753780240337,0.7902240841917215,0.08576450794967994,0.0,0.26351091373047936,0.8,0.7
Finanza e assicurazioni,640,3270,9,47.19655391438462,1,0,1,0,1,40.844095217534246,1,15.478665177695198,0,7,71.1026151707439,0.6614172663868185,0.1320953112157884,0.0711026151707439,0.014068253625570766,0.1,0.7
Sanità,484,6823,3,7.361438598705428,0,0,1,1,0,58.19416489481954,1,26.570797005495344,1,47,310.3978005971878,0.6148405742750039,0.7806988091351371,0.0,0.3032360815803256,0.8,0.7
Energia,191,1838,7,76.38654758121086,1,1,0,0,1,89.4656852301452,1,21.259739744816194,1,73,107.5447535673758,0.8709851171582257,0.040878341973663246,0.1075447535673758,0.8244280871690867,0.8,0.7
Trasporti e logistica,386,1987,6,93.39496996531118,0,0,0,0,0,69.75054278484632,1,28.434830859312747,0,18,827.2931501729847,0.21955354916412723,0.13370461203653858,0.0,0.4958423797474386,0.1,0.7
Media e intrattenimento,609,4737,6,32.41798828053501,0,0,0,1,1,65.319392261483,0,19.34382593648855,1,88,304.0845721526966,0.8414539002696168,0.7245493805643154,0.3040845721526966,0.4219898710247167,0.8,0.2
Energia,769,1614,4,87.40399406916302,1,1,0,0,1,53.22273823869593,0,15.58434144404317,1,22,851.6104112039993,0.7034442205345998,0.12326219627769562,0.8516104112039993,0.2203789706449322,0.8,0.2
Agricoltura,227,1658,8,63.62943409721139,1,0,0,1,1,49.90077341192126,0,21.00521888755921,0,51,802.4156253190343,0.9320672039958618,0.7596769824582533,0.8024156253190343,0.16501289019868762,0.1,0.2
Edilizia,555,7707,8,82.4862007286639,1,0,1,0,1,62.06865721374351,1,22.572573530321918,1,44,626.2955021408742,0.6784097979205799,0.10650536079472715,0.6262955021408741,0.3678109535623919,0.8,0.7
Finanza e assicurazioni,575,9037,7,96.2484515761287,1,0,1,1,1,74.36998712407127,1,32.15637559288709,1,23,929.7191396047544,0.7579946431497798,0.7285757974584034,0.9297191396047545,0.5728331187345213,0.8,0.7
